country,population,gdp_per_capita_scaled,health_expenditure_per_person_scaled,government_effectiveness_scaled,womenMPs_scaled,TotalCases_scaled,TotalDeaths_scaled,TotalCasesPerM_scaled,DeathsPerM_scaled,TotalTests_scaled,TestsPerM_scaled,age_over_65_percentage_scaled,percentageDied_scaled,gdp_per_capita,health_expenditure_per_person,government_effectiveness,womenMPs,TotalCases,TotalDeaths,TotalCasesPerM,DeathsPerM,TotalTests,TestsPerM,age_over_65_percentage,percentageDied
Algeria,41000000,0.089974065,0.099809483,0.192528736,0.527607362,0.00225151,0.009770661,0.008109569,0.017756799,0,0,0.198942997,1,15027,1031,-0.6,25.8,2418,364,55,8,3359,77,6.36,15.05
Argentina,44000000,0.130541573,0.137806943,0.41091954,0.795501022,0.002611007,0.003229746,0.00883042,0.006518319,0.007218684,0.004810765,0.378633447,0.3,20048,1390,0.16,38.9,2669,123,59,3,28650,634,11.12,4.61
Armenia,3000000,0.038216355,0.084144793,0.336206897,0.370143149,0.000508452,0.000407111,0.071183997,0.013261407,0.00212185,0.030790624,0.383540959,0.1,8621,883,-0.1,18.1,1201,19,405,6,10793,3642,11.25,1.58
Australia,25000000,0.363645178,0.466130398,0.807471264,0.586912065,0.008135228,0.001655584,0.044332312,0.006518319,0.110793718,0.131946244,0.550018875,0.06,48899,4492,1.54,28.7,6526,65,256,3,391530,15354,15.66,1
Austria,9000000,0.356422044,0.534504657,0.784482759,0.625766871,0.019679231,0.011589089,0.290142368,0.107664644,0.047355723,0.161665889,0.67610419,0.19,48005,5138,1.46,30.6,14586,431,1620,48,169272,18795,19,2.95
Azerbaijan,10000000,0.109461982,0.116744285,0.318965517,0.343558282,0.000707536,0.000298548,0.021985943,0.002022927,0.023761063,0.073111537,0.192902982,0.07,17439,1191,-0.16,16.8,1340,15,132,1,86607,8542,6.2,1.12
Bahrain,1300000,0.378228797,0.250317528,0.41954023,0.153374233,0.001280439,8.14E-05,0.182555415,0.008766015,0.021750814,0.403188751,0.050585126,0.02,50704,2453,0.19,7.5,1740,7,1023,4,79564,46759,2.43,0.4
Bangladesh,165000000,0,0,0.152298851,0.415132924,0.0014208,0.001926991,0.000180213,0.000899078,0.00451942,0.000345477,0.153642884,0.26,3891,88,-0.74,20.3,1838,75,11,0.5,19193,117,5.16,4.08
Belarus,10000000,0.113994619,0.105524979,0.264367816,0.705521472,0.005633073,0.001031348,0.089385475,0.008766015,0.02381986,0.078682351,0.519441299,0.05,18000,1085,-0.35,34.5,4779,42,506,4,86813,9187,14.85,0.88
Belgium,11000000,0.332522683,0.496824725,0.704022989,0.777096115,0.050547266,0.140018999,0.560100919,1,0.038825796,0.103211207,0.66817667,0.95,45047,4782,1.18,38,36138,5163,3118,445,139387,12027,18.79,14.29
